Scholarship Name,Deadline,Amount,Description,Location,Years,Link
"Frank P. Fitzgerald, P.C. Endowed Scholarship",Unknown deadline,500.0,Applicant must be an undergraduate or in the School of Law and must demonstrate financial need.,No Geographic Restrictions,"['College senior', 'College sophomore', 'College junior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/frank-p-fitzgerald-pc-endowed-scholarship
Gauld/Taft Engineering Scholarship,Unknown deadline,500.0,"Applicant must graduate from a New Hampshire public high school, demonstrate financial need, and enroll in the School of Engineering. Applicant must have a minimum 2.8 GPA and a minimum combined SAT I score of 1000.",New Hampshire,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/gauldtaft-engineering-scholarship
Gilbert Matching Grant Program,Unknown deadline,500.0,Selection is based upon financial need.,Massachusetts,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/gilbert-matching-grant-program
John Henri Memorial Scholarship,Unknown deadline,500.0,Selection is based upon financial need.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/john-henri-memorial-scholarship
Beaumont A. and Winifred S. Herman Endowed Scholarship,Unknown deadline,500.0,Applicant must have a GPA that qualifies him/her to graduate magna or summa cum laude.,No Geographic Restrictions,['College senior'],https://www.collegescholarships.org/financial-aid/scholarship/beaumont-a-and-winifred-s-herman-endowed-scholarship
Presidential Scholarship,Unknown deadline,500.0,Selection based upon cumulative GPA and standardized test scores.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/presidential-scholarship-171
Provost Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.25 GPA and a minimum combined SAT Reasoning score of 1150 (composite ACT score of 25).,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/provost-scholarship-12
Dean&#039;s Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.0 GPA and a minimum combined SAT I score of 1050 (composite ACT score of 23).,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/deans-scholarship-83
Founder&#039;s Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.0 GPA and a minimum combined SAT Reasoning score of 1000 (composite ACT score of 21).,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/founders-scholarship-21
"Transfer Scholarship - $7,500",Unknown deadline,500.0,Applicant must have a minimum 3.5 GPA. Selection is based upon GPA and SAT or ACT scores and admission audition results.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/transfer-scholarship-7500
"Transfer Scholarship - $5,000",Unknown deadline,500.0,"Applicant must have a minimum 3.0 GPA. Selection is based upon GPA, SAT or ACT scores, and admission audition results.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/transfer-scholarship-5000
"Transfer Scholarship - $3,500",Unknown deadline,500.0,"Applicant must have a minimum 2.75 GPA. Selection is based upon GPA, SAT or ACT scores, and admission audition results.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/transfer-scholarship-3500
"Transfer Scholarship - $2,500",Unknown deadline,500.0,"Applicant must have a minimum 2.5 GPA. Selection is based upon GPA, SAT or ACT scores, and admission audition results.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/transfer-scholarship-2500
Phi Theta Kappa Scholarship,Unknown deadline,500.0,Applicant must be a Phi Theta Kappa member.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/phi-theta-kappa-scholarship-35
Gateway Award Program,Unknown deadline,500.0,Applicants must have a minimum combined SAT Reasoning score of 1130 (minimum composite ACT score of 25) with a minimum 3.0 high school GPA.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/gateway-award-program
Henry Rodriguez College Scholarship,Unknown deadline,500.0,Awarded to American Indian/Alaskan Native students seeking a degree in engineering or scientific fields related to water resources or environmentally related fields.,No Geographic Restrictions,"['College junior', 'College senior', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/henry-rodriguez-college-scholarship
Vance Honors Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.75 GPA in college preparatory subjects and must have a minimum combined SAT Reasoning score of 1300 (composite ACT score of 29).,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/vance-honors-scholarship
Trustees&#039; Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.7 GPA in college preparatory subjects and a minimum combined SAT Reasoning score of 1200 (composite ACT score of 27).,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/trustees-scholarship-17
President&#039;s Scholarship,Unknown deadline,500.0,Applicant must have a minimum 4.0 GPA in college preparatory subjects.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/presidents-scholarship-34
Westminster Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.0 in college preparatory subjects.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/westminster-scholarship
Young Presbyterian Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.5 GPA and demonstrate active membership in a PC(USA) congregation. Nomination by pastor is required.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/young-presbyterian-scholarship
Jerb Miller Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.5 GPA and endorsement from alumni educators.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/jerb-miller-scholarship
Balfour Scholarship,Unknown deadline,500.0,"Applicant must demonstrate outstanding academic ability, unusual talents, and leadership.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/balfour-scholarship
Trustee Scholarship,Unknown deadline,500.0,Applicant must demonstrate academic achievement and extracurricular commitment.,No Geographic Restrictions,"['College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/trustee-scholarship-56
Community Scholarship,Unknown deadline,500.0,Applicant must demonstrate strong academic performance and commitment to community service and leadership.,No Geographic Restrictions,"['College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/community-scholarship
University Scholarship,Unknown deadline,500.0,Applicant must have a minimum combined SAT Reasoning score of 1200.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/university-scholarship-17
Presidential Scholarship,Unknown deadline,500.0,Applicant must have a minimum combined SAT I score of 1100.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/presidential-scholarship-172
Transfer Student Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.0 GPA and 24 credits.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/transfer-student-scholarship-7
Dean&#039;s Scholarship,Unknown deadline,500.0,Applicant must rank in the top fifth of class or have a minimum combined SAT I score of 1000.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/deans-scholarship-84
Commitment Award,Unknown deadline,500.0,Applicant must rank in the top half of class and have a minimum combined SAT I score of 900.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/commitment-award
Presidential Scholarship,Unknown deadline,500.0,Applicant must be high achieving and come from a diverse background.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/presidential-scholarship-173
Transfer Presidential Scholarship,Unknown deadline,500.0,Applicant must have a minimum 3.5 GPA and be a Phi Theta Kappa member,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/transfer-presidential-scholarship-2
Warch Scholarship,Unknown deadline,500.0,"Selection based up on high school record, recommendations, and extracurricular achievements.",No Geographic Restrictions,"['College freshman', 'College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/warch-scholarship
Trustee Scholarship,Unknown deadline,500.0,Awarded to the top-ten-ranked admitted students in each of the five ethnic categories defined by the federal government.,No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/trustee-scholarship-57
National Merit Scholarship,Unknown deadline,500.0,"Applicant must be a high school student who has entered the National Merit Program by taking the Preliminary SAT/National Merit Scholarship Qualifying Test (PSAT/NMSQT) no later than the third year in grades 9-12, regardless of grade classification or educational pattern; be enrolled full-time as a high school student, progressing normally toward graduation or completion of high school, and planning to enroll full-time in college no later than the fall following completion of high school.",No Geographic Restrictions,"['High school senior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/national-merit-scholarship-30
